iter	Passed	Remaining
0	18	46642
1	33	41304
2	50	42133
3	70	44223
4	88	44293
5	102	42759
6	120	42881
7	135	42097
8	151	41880
9	168	41966
10	186	42095
11	201	41836
12	216	41432
13	231	41127
14	249	41308
15	262	40766
16	277	40550
17	292	40299
18	309	40445
19	325	40402
20	344	40711
21	361	40736
22	380	40990
23	397	40960
24	414	41060
25	432	41199
26	450	41282
27	467	41248
28	484	41313
29	502	41350
30	516	41129
31	535	41276
32	551	41213
33	567	41187
34	588	41412
35	605	41425
36	620	41323
37	636	41238
38	651	41113
39	670	41254
40	688	41307
41	705	41295
42	721	41248
43	740	41314
44	756	41281
45	771	41139
46	789	41187
47	803	41038
48	820	41065
49	839	41124
50	858	41201
51	874	41191
52	889	41086
53	905	41025
54	921	40959
55	938	40964
56	957	41022
57	973	40978
58	990	40960
59	1006	40917
60	1022	40878
61	1042	40976
62	1058	40962
63	1078	41047
64	1096	41066
65	1116	41177
66	1135	41245
67	1157	41389
68	1173	41344
69	1192	41397
70	1212	41493
71	1231	41519
72	1250	41586
73	1266	41530
74	1283	41504
75	1305	41629
76	1321	41569
77	1348	41873
78	1370	42011
79	1404	42483
80	1433	42797
81	1451	42800
82	1468	42777
83	1488	42798
84	1509	42888
85	1527	42885
86	1542	42790
87	1558	42729
88	1575	42684
89	1595	42724
90	1614	42728
91	1631	42706
92	1648	42666
93	1669	42727
94	1686	42697
95	1706	42738
96	1726	42768
97	1745	42772
98	1769	42905
99	1788	42912
100	1809	42985
101	1827	42963
102	1848	43006
103	1868	43053
104	1887	43051
105	1904	43019
106	1924	43032
107	1944	43059
108	1967	43153
109	1983	43097
110	2000	43060
111	2020	43077
112	2042	43152
113	2062	43175
114	2078	43102
115	2096	43086
116	2118	43139
117	2135	43110
118	2152	43064
119	2168	43014
120	2183	42931
121	2201	42904
122	2220	42909
123	2237	42868
124	2255	42856
125	2269	42760
126	2286	42718
127	2302	42670
128	2318	42616
129	2334	42564
130	2348	42474
131	2365	42431
132	2380	42371
133	2397	42337
134	2418	42373
135	2436	42360
136	2452	42307
137	2469	42276
138	2483	42189
139	2502	42178
140	2520	42162
141	2536	42116
142	2555	42126
143	2572	42090
144	2591	42092
145	2608	42065
146	2627	42060
147	2648	42088
148	2664	42045
149	2681	42009
150	2697	41955
151	2714	41932
152	2732	41919
153	2751	41921
154	2769	41904
155	2787	41889
156	2806	41881
157	2826	41892
158	2844	41875
159	2863	41874
160	2879	41831
161	2899	41840
162	2920	41873
163	2940	41889
164	2960	41897
165	2975	41834
166	2997	41872
167	3019	41913
168	3041	41946
169	3057	41904
170	3076	41904
171	3095	41898
172	3114	41895
173	3133	41883
174	3154	41908
175	3175	41934
176	3196	41951
177	3210	41886
178	3229	41878
179	3245	41830
180	3261	41783
181	3274	41708
182	3304	41834
183	3320	41797
184	3338	41775
185	3365	41867
186	3390	41930
187	3406	41895
188	3423	41864
189	3438	41808
190	3453	41744
191	3472	41742
192	3495	41783
193	3509	41711
194	3520	41610
195	3534	41552
196	3558	41597
197	3578	41602
198	3599	41623
199	3617	41605
200	3635	41583
201	3653	41564
202	3670	41533
203	3692	41553
204	3711	41548
205	3725	41488
206	3744	41478
207	3763	41467
208	3781	41451
209	3801	41450
210	3818	41420
211	3835	41395
212	3851	41356
213	3867	41315
214	3887	41312
215	3903	41272
216	3918	41229
217	3937	41222
218	3953	41175
219	3971	41163
220	3993	41186
221	4012	41172
222	4031	41160
223	4050	41155
224	4065	41109
225	4082	41073
226	4102	41078
227	4120	41065
228	4136	41019
229	4152	40979
230	4173	40997
231	4191	40972
232	4205	40919
233	4226	40926
234	4248	40944
235	4264	40912
236	4284	40906
237	4303	40904
238	4321	40880
239	4334	40820
240	4359	40862
241	4379	40866
242	4405	40914
243	4423	40900
244	4443	40897
245	4462	40887
246	4483	40897
247	4504	40900
248	4528	40938
249	4550	40957
250	4566	40919
251	4585	40908
252	4604	40896
253	4623	40886
254	4643	40880
255	4665	40898
256	4683	40878
257	4702	40865
258	4717	40821
259	4731	40762
260	4746	40721
261	4769	40743
262	4789	40735
263	4807	40717
264	4825	40701
265	4847	40714
266	4865	40693
267	4888	40712
268	4911	40737
269	4931	40732
270	4952	40738
271	4968	40695
272	4989	40698
273	5010	40706
274	5028	40681
275	5046	40667
276	5064	40640
277	5084	40639
278	5107	40659
279	5128	40665
280	5147	40647
281	5165	40630
282	5183	40609
283	5202	40596
284	5218	40560
285	5233	40516
286	5266	40607
287	5293	40654
288	5327	40754
289	5352	40789
290	5369	40756
291	5386	40731
292	5401	40688
293	5419	40666
294	5438	40649
295	5457	40637
296	5475	40615
297	5494	40598
298	5518	40619
299	5537	40607
300	5556	40594
301	5571	40548
302	5588	40518
303	5602	40471
304	5624	40474
305	5646	40484
306	5665	40467
307	5683	40449
308	5705	40457
309	5722	40423
310	5739	40397
311	5751	40332
312	5766	40293
313	5786	40287
314	5805	40270
315	5821	40235
316	5841	40228
317	5864	40241
318	5886	40248
319	5900	40196
320	5919	40182
321	5932	40124
322	5954	40134
323	5971	40104
324	5989	40084
325	6007	40064
326	6020	40009
327	6040	39999
328	6053	39943
329	6074	39944
330	6094	39933
331	6109	39892
332	6126	39869
333	6147	39866
334	6167	39857
335	6190	39867
336	6206	39833
337	6221	39796
338	6237	39760
339	6255	39742
340	6274	39725
341	6294	39715
342	6309	39678
343	6330	39677
344	6350	39669
345	6370	39656
346	6390	39650
347	6409	39635
348	6427	39612
349	6444	39586
350	6460	39555
351	6477	39527
352	6498	39527
353	6521	39532
354	6540	39519
355	6561	39513
356	6580	39503
357	6595	39460
358	6616	39459
359	6636	39453
360	6654	39427
361	6672	39405
362	6689	39380
363	6710	39378
364	6728	39355
365	6749	39355
366	6774	39370
367	6791	39349
368	6810	39332
369	6827	39302
370	6844	39279
371	6863	39261
372	6881	39241
373	6898	39211
374	6917	39201
375	6936	39186
376	6959	39188
377	6977	39170
378	6997	39158
379	7021	39171
380	7044	39180
381	7065	39176
382	7075	39108
383	7097	39111
384	7117	39098
385	7141	39110
386	7165	39123
387	7209	39241
388	7244	39315
389	7268	39326
390	7289	39319
391	7306	39292
392	7330	39299
393	7351	39297
394	7372	39290
395	7392	39277
396	7413	39270
397	7433	39261
398	7453	39248
399	7476	39252
400	7495	39237
401	7516	39230
402	7543	39254
403	7567	39260
404	7593	39281
405	7616	39284
406	7636	39270
407	7656	39260
408	7679	39259
409	7701	39257
410	7726	39270
411	7745	39252
412	7762	39228
413	7780	39202
414	7800	39189
415	7822	39186
416	7840	39165
417	7863	39166
418	7883	39156
419	7901	39132
420	7922	39123
421	7943	39114
422	7960	39088
423	7978	39065
424	8000	39062
425	8019	39042
426	8035	39008
427	8054	38990
428	8075	38982
429	8092	38957
430	8112	38945
431	8132	38931
432	8154	38928
433	8180	38940
434	8200	38929
435	8221	38919
436	8238	38893
437	8255	38866
438	8277	38861
439	8301	38867
440	8323	38863
441	8346	38862
442	8363	38836
443	8387	38839
444	8406	38818
445	8425	38800
446	8448	38802
447	8472	38804
448	8491	38789
449	8513	38784
450	8532	38766
451	8553	38754
452	8571	38732
453	8590	38712
454	8612	38707
455	8632	38694
456	8654	38687
457	8673	38669
458	8693	38654
459	8714	38647
460	8736	38639
461	8760	38644
462	8780	38629
463	8798	38608
464	8818	38591
465	8836	38568
466	8855	38550
467	8877	38545
468	8902	38551
469	8928	38563
470	8944	38531
471	8963	38513
472	8982	38491
473	9001	38474
474	9018	38448
475	9043	38454
476	9065	38449
477	9080	38412
478	9101	38401
479	9130	38422
480	9155	38431
481	9183	38450
482	9206	38446
483	9228	38437
484	9246	38416
485	9267	38406
486	9287	38388
487	9308	38380
488	9329	38366
489	9347	38343
490	9365	38322
491	9385	38306
492	9402	38279
493	9424	38269
494	9445	38259
495	9460	38223
496	9481	38211
497	9503	38206
498	9525	38196
499	9541	38164
500	9560	38145
501	9577	38120
502	9596	38100
503	9615	38081
504	9632	38051
505	9649	38027
506	9668	38008
507	9688	37989
508	9706	37968
509	9723	37938
510	9740	37914
511	9759	37895
512	9777	37871
513	9796	37852
514	9815	37831
515	9836	37820
516	9856	37805
517	9871	37771
518	9892	37757
519	9906	37720
520	9924	37697
521	9943	37678
522	9960	37653
523	9977	37625
524	10000	37619
525	10019	37601
526	10036	37575
527	10055	37554
528	10074	37536
529	10095	37524
530	10112	37496
531	10130	37473
532	10151	37464
533	10172	37451
534	10191	37433
535	10210	37412
536	10228	37388
537	10247	37370
538	10260	37329
539	10280	37312
540	10306	37320
541	10327	37306
542	10342	37273
543	10363	37264
544	10384	37249
545	10407	37244
546	10428	37233
547	10440	37188
548	10458	37166
549	10477	37148
550	10501	37146
551	10522	37133
552	10539	37108
553	10561	37100
554	10580	37080
555	10602	37069
556	10622	37053
557	10641	37035
558	10658	37010
559	10679	36997
560	10699	36979
561	10716	36953
562	10737	36943
563	10761	36939
564	10777	36909
565	10798	36896
566	10819	36884
567	10838	36867
568	10860	36857
569	10875	36823
570	10892	36796
571	10916	36796
572	10937	36782
573	10952	36750
574	10971	36731
575	10998	36737
576	11019	36726
577	11042	36719
578	11076	36748
579	11122	36818
580	11142	36804
581	11165	36797
582	11188	36790
583	11209	36776
584	11234	36775
585	11255	36763
586	11275	36744
587	11294	36726
588	11313	36706
589	11335	36696
590	11355	36679
591	11380	36679
592	11399	36660
593	11424	36658
594	11442	36635
595	11461	36616
596	11482	36600
597	11499	36575
598	11521	36564
599	11548	36570
600	11567	36550
601	11594	36555
602	11616	36544
603	11651	36574
604	11674	36568
605	11709	36596
606	11735	36597
607	11757	36586
608	11787	36602
609	11811	36595
610	11837	36597
611	11856	36575
612	11879	36567
613	11897	36546
614	11920	36536
615	11944	36530
616	11966	36519
617	11989	36510
618	12010	36495
619	12037	36501
620	12063	36500
621	12084	36487
622	12099	36455
623	12119	36436
624	12141	36423
625	12163	36412
626	12181	36390
627	12204	36381
628	12223	36359
629	12241	36336
630	12267	36335
631	12284	36310
632	12301	36282
633	12320	36261
634	12332	36221
635	12355	36212
636	12375	36194
637	12392	36167
638	12410	36144
639	12434	36136
640	12452	36113
641	12469	36088
642	12487	36065
643	12511	36057
644	12530	36038
645	12551	36023
646	12570	36002
647	12592	35989
648	12623	36002
649	12643	35984
650	12662	35965
651	12680	35942
652	12703	35932
653	12724	35917
654	12744	35898
655	12761	35872
656	12779	35847
657	12795	35819
658	12811	35789
659	12832	35774
660	12852	35756
661	12869	35729
662	12887	35708
663	12908	35691
664	12929	35676
665	12952	35667
666	12970	35645
667	12993	35634
668	13018	35631
669	13051	35648
670	13074	35637
671	13099	35635
672	13124	35629
673	13146	35617
674	13167	35600
675	13186	35579
676	13202	35550
677	13222	35533
678	13243	35517
679	13263	35498
680	13283	35480
681	13307	35474
682	13326	35451
683	13345	35431
684	13364	35411
685	13382	35387
686	13403	35371
687	13424	35357
688	13439	35326
689	13454	35294
690	13475	35279
691	13494	35256
692	13516	35245
693	13529	35207
694	13548	35187
695	13569	35170
696	13590	35155
697	13609	35134
698	13622	35099
699	13640	35074
700	13652	35035
701	13673	35021
702	13690	34996
703	13711	34979
704	13729	34956
705	13752	34947
706	13773	34929
707	13791	34906
708	13811	34889
709	13831	34870
710	13848	34844
711	13868	34827
712	13880	34788
713	13898	34765
714	13919	34749
715	13936	34725
716	13958	34710
717	13978	34694
718	14002	34684
719	14016	34651
720	14039	34642
721	14064	34635
722	14082	34612
723	14103	34595
724	14118	34566
725	14139	34550
726	14156	34524
727	14174	34500
728	14189	34472
729	14206	34445
730	14230	34437
731	14249	34415
732	14268	34395
733	14291	34386
734	14311	34366
735	14329	34344
736	14348	34322
737	14368	34306
738	14385	34280
739	14403	34257
740	14421	34234
741	14444	34222
742	14467	34212
743	14485	34188
744	14496	34149
745	14514	34127
746	14534	34108
747	14555	34092
748	14578	34081
749	14601	34069
750	14624	34059
751	14643	34039
752	14661	34015
753	14678	33991
754	14695	33965
755	14720	33957
756	14738	33935
757	14762	33927
758	14784	33912
759	14805	33897
760	14824	33875
761	14844	33857
762	14880	33875
763	14917	33896
764	14937	33878
765	14957	33859
766	14980	33847
767	15002	33832
768	15020	33811
769	15040	33791
770	15056	33763
771	15074	33741
772	15091	33717
773	15115	33707
774	15134	33687
775	15155	33669
776	15178	33659
777	15199	33641
778	15221	33628
779	15240	33607
780	15262	33592
781	15280	33570
782	15301	33554
783	15319	33531
784	15340	33515
785	15356	33488
786	15378	33472
787	15398	33454
788	15415	33429
789	15439	33418
790	15456	33395
791	15478	33379
792	15500	33365
793	15550	33412
794	15583	33420
795	15618	33433
796	15642	33424
797	15662	33404
798	15681	33384
799	15698	33359
800	15721	33345
801	15742	33329
802	15758	33303
803	15781	33290
804	15800	33268
805	15818	33245
806	15840	33230
807	15863	33219
808	15884	33201
809	15903	33181
810	15921	33159
811	15937	33131
812	15953	33103
813	15970	33079
814	15984	33048
815	16005	33030
816	16026	33014
817	16047	32997
818	16067	32978
819	16087	32959
820	16100	32925
821	16119	32906
822	16138	32885
823	16157	32863
824	16182	32855
825	16202	32837
826	16226	32825
827	16242	32797
828	16260	32775
829	16280	32757
830	16298	32735
831	16321	32721
